formula,No,S_Phase,Phase,delta,Tm,D_Tm (K),?Hmix (kJ/mol),elec_diff,VEC,modulus_calc,D_Bulk (GPa),Tm,composition_norm
Be2Ti,2,IM,IM,0.130648579,1687.0,179.6051224,1.571348403,1.56,2.666666667,123.3333333,9.428090416,0,Be2Ti
Bi2Mg3,2,IM,IM,0.000306071,771.68,185.3283939,0.195959179,1.594,3.2,39.4,6.85857128,0,Bi2Mg3
Bi3Pb7,2,IM,IM,0.052673284,583.837,25.62118071,0.0,2.237,4.3,41.5,6.873863542,0,Bi3Pb7
CaCu5,2,IM,IM,0.186561732,1317.308333,90.47503715,2.153250645,1.75,9.5,119.5,45.83939354,0,CaCu5
CaZn13,2,IM,IM,0.104163159,722.8457143,108.7640296,4.162677274,1.603571429,11.28571429,66.21428571,13.64958697,0,CaZn13
Cd10Cu3,2,IM,IM,0.081397736,770.4238462,321.7027375,0.732955994,1.738461538,11.76923077,64.61538462,41.28985434,0,Cd10Cu3
Cd3Cu4,2,IM,IM,0.10234204,1030.534286,377.8592555,0.06059653,1.81,11.42857143,98.0,48.49742261,0,Cd3Cu4
Cd3Mg,2,IM,IM,0.009065452,676.415,142.3659161,0.649519053,1.595,9.5,42.75,1.299038106,0,Cd3Mg
CdMg,2,IM,IM,0.01041338,758.61,164.39,0.0,1.5,7.0,43.5,1.5,0,CdMg
CdMg3,2,IM,IM,0.008971539,840.805,142.3659161,0.649519053,1.405,4.5,44.25,1.299038106,0,CdMg3
CdSn10,2,IM,IM,0.009254752,513.1836364,25.62594824,0.0,1.935454545,4.727272727,56.54545455,4.599676597,0,CdSn10
Co3Sn2,2,IM,IM,0.129252355,1262.832,618.7019172,0.0,1.912,7.0,131.2,59.76754972,0,Co3Sn2
CoTi,2,IM,IM,0.077773682,1854.5,86.5,0.0,1.71,6.5,145.0,35.0,0,CoTi
Co2V3,2,IM,IM,0.02468478,2017.0,203.3076487,0.274342851,1.73,6.6,168.0,9.797958971,0,Co2V3
CoZn,2,IM,IM,0.054421769,1230.34,537.66,0.0,1.765,10.5,125.0,55.0,0,CoZn
CrFe,2,IM,IM,0.003212851,1995.5,184.5,0.0,1.745,7.0,165.0,5.0,0,CrFe
Cr2Mn11,2,IM,IM,0.027307585,1620.692308,238.4896013,0.345856783,1.566923077,6.846153846,126.1538462,14.43204849,0,Cr2Mn11
Cr3Si,2,IM,IM,0.033934057,2056.75,213.475262,4.005367493,1.72,5.5,145.0,25.98076211,0,Cr3Si
CrSi2,2,IM,IM,0.038189733,1851.333333,232.4024287,1.937996363,1.82,4.666666667,120.0,28.28427125,0,CrSi2
Cu4Ce,2,IM,IM,0.110026619,1299.816,115.908,3.024,1.744,9.6,116.4,47.2,0,CeCu4
